city,state_abbr,question_id,question_family,question_text,treatment_or_mechanism_source,outcome_or_mechanism_source,feasibility,notes
Berkeley,CA,BERK_Q1,legal_ceiling_vs_market,Did registered legal rent ceilings diverge from city market or occupied-rent trends?,Berkeley Rent Board registration; Unit Information Lookup,Registry ceilings; ACS 5y; FHFA Bay Area; BPS Alameda; QCEW Alameda,high,Core Berkeley mechanism question.
Berkeley,CA,BERK_Q2,petition_and_enforcement,Did eviction-related board activity or petitions change around broader market shifts?,Berkeley Rent Board eviction and petition workflows,Rent Board admin records; local market backbones,medium,Depends on practical extraction of public admin records.
New York City,NY,NYC_Q1,quality_and_maintenance,Did buildings with at least one stabilized unit show different HPD violation trends?,Rent Stabilized Building Lists,HPD violations; complaints; enforcement data,high,Best public quality question in the repo's current extension universe.
New York City,NY,NYC_Q2,treated_stock_inventory,Did the stabilized building stock footprint change over time?,Rent Stabilized Building Lists,Annual RSBL vintages; borough and county market backbones,high,Uses building-level treated-stock proxy only.
Saint Paul,MN,STP_Q1,policy_case_study,Did the 2021 ordinance and later amendments affect permits prices and employment?,City rent stabilization ordinance timeline,BPS Ramsey County; FHFA Twin Cities; QCEW Ramsey County,high,Clean modern ordinance case with explicit timing.
Saint Paul,MN,STP_Q2,amendment_analysis,Did post-ordinance amendments attenuate or reverse early effects?,City ordinance and amendment materials,Same federal outcome backbone,high,Best amendment-design question among city candidates.
Washington,DC,DC_Q1,registry_inventory,What does the DC RentRegistry reveal about protected stock and turnover?,DHCD RentRegistry,RentRegistry public database; citywide backbones,high,Strong administrative transparency question.
Washington,DC,DC_Q2,ceiling_vs_market,Do registered rent-controlled properties diverge from broader DC market trends?,DHCD RentRegistry,Registry; ACS; FHFA; BPS; QCEW,medium,Promising but needs registry field audit first.
Los Angeles,CA,LA_Q1,quality_and_maintenance,Did RSO exposure line up with changes in tenant habitability and code-enforcement activity?,RSO inventory dashboard,Tenant Habitability Program; Systematic Code Enforcement dashboard,high,Strongest official quality and enforcement package after NYC.
Los Angeles,CA,LA_Q2,evictions_and_exits,Did eviction notices or Ellis Act filings move around rule changes?,RSO inventory and local rent regulation context,Eviction notice and Ellis Act dashboards,high,Direct displacement and exits channel.
Los Angeles,CA,LA_Q3,market_and_supply,Did RSO-heavy areas diverge on rents prices or permits?,RSO inventory dashboard,ACS place and county; FHFA LA metro; BPS LA County,medium,Needs careful geography matching.
Oakland,CA,OAK_Q1,petition_activity,Did RAP cases tied to decreased services or code issues change over time?,Oakland RAP case database,RAP case records; code compliance relocation data,high,Strong petition and mechanism extension.
Oakland,CA,OAK_Q2,evictions_and_enforcement,Did citywide eviction and enforcement patterns shift with local rent protection activity?,Rent registry and eviction data,Citywide eviction dataset; code compliance records,high,Good formal displacement and enforcement channel.
San Francisco,CA,SF_Q1,protected_inventory,How did the reported rent-controlled housing inventory evolve over time?,SF Rent Board and Housing Inventory data,Annual inventory plus federal city and county backbones,high,Best SF question from clearly public data.
San Francisco,CA,SF_Q2,inventory_vs_market,Did protected-stock inventory changes line up with market tightening or supply shifts?,Housing Inventory data,ACS; FHFA; BPS; QCEW local proxies,medium,Inventory is owner-reported and not verified.
San Jose,CA,SJ_Q1,registry_and_petitions,What can the rent registry and petition process say about protected stock and disputes?,San Jose Rent Registry,Rent Registry; petition and forms ecosystem,medium,Needs a field audit for public exportability.
San Jose,CA,SJ_Q2,city_effects,Did San Jose's protected rental stock diverge from local market trends?,Rent Registry,FHFA San Jose metro; BPS and QCEW Santa Clara; ACS place,medium,Good if registry fields are extractable.
West Hollywood,CA,WEHO_Q1,habitability_and_registry,Did rent-stabilized and non-rent-controlled registry activity move with tenant habitability plans?,West Hollywood Landlord Service Portal,Tenant Habitability Plans; registry materials,medium,Mechanism-rich if portal data are accessible.
West Hollywood,CA,WEHO_Q2,city_effects,Did West Hollywood diverge from LA-area market outcomes under local stabilization?,West Hollywood rent stabilization program,FHFA LA metro; BPS and QCEW LA County; ACS place,medium,Requires place-versus-county design choices.
Santa Monica,CA,SM_Q1,legal_ceiling_lookup,Did maximum allowable rent ceilings diverge from broader local market conditions?,Santa Monica MAR lookup,MAR data; ACS and FHFA local backbones,medium,Public lookup exists; bulk extraction may be manual.
East Palo Alto,CA,EPA_Q1,petitions_and_ceiling,Can petitions and board materials identify incumbent-rent protection effects?,East Palo Alto rent stabilization program,Board materials; local backbones,medium,Likely manual-document-first extension.
Mountain View,CA,MV_Q1,measure_v_city_effects,Did Measure V coverage coincide with different local housing-market outcomes?,Mountain View rent stabilization program,ACS place; FHFA San Jose metro; county BPS and QCEW,medium,Program exists; admin-data openness still needs audit.
